Storm Name,Class,Dates,Max. Winds (kt),Min. Pressure (mb),Direct Death,U.S. Damage ($ million),200-850_hPA_Shear(kt),Sea_Surface_Temp(Celsius) ,700-500_hPa_Humidity(%)
Alex,TS,Jun-22,60,984,4,,35,24,50
Bonnie,MH,Jul-22,100,964,5,,15,26.5,70
Colin,TS,Jul-22,35,1011,1,,20,27,65
Danielle,H,Sep-22,75,972,,,20,27,50
Earl,H,Sep-22,95,948,2,,35,29.5,45
Fiona,MH,Sep-22,120,931,7,2500,,27.5,50
Gaston,TS,Sep-22,55,994,,,35,24.5,45
Hermine,TS,Sep-22,35,1003,,,20,25.5,50
Ian,MH,Sep-22,140,937,66,112900,20,27.8,45
Eleven,TD,Sep-22,30,1008,,,27,27,40
Twelve,TD,Oct-22,30,1007,,,40,27,50
Julia,H,Oct-22,75,982,35,,15,29,80
Karl,TS,Oct-22,50,997,3,,13,27.5,55
Lisa,H,Nov-22,80,985,,,35,27.5,40
Martin,H,Nov-22,75,965,,,25,13.3,65
Nicole,H,Nov-22,65,980,,1000,45,28,60